"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","Domain","Vocabulary","Ancestors"
"","41369228","OMOP2567190","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 5","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","44193016","OMOP3069739","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 5 by Europharma","Marketed Product","Standard","10/05/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","41364231","OMOP2562193","10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 5 by Gerke","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","2027300","OMOP4926005","10 ML insulin aspart, human 100 IU/ML Injectable Solution","Quant Clinical Drug","Standard","07/30/2020","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","2027298","OMOP4926003","10 ML insulin aspart, human 100 IU/ML Injectable Solution [Fiasp]","Quant Branded Drug","Standard","07/30/2020","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","2027299","OMOP4926004","10 ML insulin aspart, human 100 IU/ML Injectable Solution [Fiasp] by Novonordisk","Marketed Product","Standard","07/30/2020","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","2027296","OMOP4926001","10 ML insulin aspart, human 100 IU/ML Injectable Solution [Novorapid]","Quant Branded Drug","Standard","07/30/2020","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","2027297","OMOP4926002","10 ML insulin aspart, human 100 IU/ML Injectable Solution [Novorapid] by Novonordisk","Marketed Product","Standard","07/30/2020","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782557","OMOP2784018","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782556","OMOP2784017","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715606","OMOP4741547","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp]","Quant Branded Drug","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715604","OMOP4741549","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp] Box of 1","Quant Branded Box","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715603","OMOP4741550","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp] Box of 1 by Novo Nordisk","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","37593917","OMOP4783347","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp] by 2care4","Marketed Product","Standard","01/16/2019","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","37593918","OMOP4783348","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp] by Eurim-Pharm","Marketed Product","Standard","01/16/2019","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715605","OMOP4741548","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Fiasp] by Novo Nordisk","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43518611","OMOP2805726","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Novorapid]","Quant Branded Drug","Standard","08/28/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35781664","OMOP2783125","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43518631","OMOP2805746","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Novorapid] Box of 1","Quant Branded Box","Standard","08/28/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782413","OMOP2783874","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782211","OMOP2783672","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] Box of 1 by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715601","OMOP4741552","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] Box of 1 by Sigma","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35781914","OMOP2783375","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] Box of 1 by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782210","OMOP2783671","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] Box of 1 by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","36279478","OMOP3130353","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [Novorapid] by Novo Nordisk","Marketed Product","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35782364","OMOP2783825","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","40715602","OMOP4741551","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] by Sigma","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35781616","OMOP2783077","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","35781615","OMOP2783076","10 ML Insulin, Aspart, Human 100 UNT/ML Injectable Solution [NovoRapid] by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43269919","OMOP563451","10 ML Insulin, Aspart, Human 100 UNT/ML Injection","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43291629","OMOP563450","10 ML Insulin, Aspart, Human 100 UNT/ML Injection Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43291630","OMOP563452","10 ML Insulin, Aspart, Human 100 UNT/ML Injection [Novorapid]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","43275459","OMOP563453","10 ML Insulin, Aspart, Human 100 UNT/ML Injection [Novorapid] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21127106","OMOP309958","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21117361","OMOP309959","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21048705","OMOP309960","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21127107","OMOP309964","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21048706","OMOP309965","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] Box of 1 by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21087930","OMOP309966","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] Box of 1 by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21087931","OMOP309968","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] Box of 1 by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'insulin aspart, human'"">1"
"","21038895","OMOP309961","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21029079","OMOP309962","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21038896","OMOP309963","10 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoRapid] by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41361397","OMOP2559359","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41371958","OMOP2569920","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution Box of 5","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","44192579","OMOP3069302","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Fiasp]","Quant Branded Drug","Standard","10/05/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","44192785","OMOP3069508","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Fiasp] Box of 5","Quant Branded Box","Standard","10/05/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","44192507","OMOP3069230","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Fiasp] Box of 5 by Novo Nordisk","Marketed Product","Standard","10/05/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41366177","OMOP2564139","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41370741","OMOP2568703","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41371766","OMOP2569728","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Axicorp","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41368695","OMOP2566657","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Cc","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41363478","OMOP2561440","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Emra-Med","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41373268","OMOP2571230","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Eurim-Pharm","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41362746","OMOP2560708","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Kohlpharma","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41363477","OMOP2561439","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Mtk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41369499","OMOP2567461","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Novo Nordisk","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41366447","OMOP2564409","10 ML Insulin, Aspart, Human 10 UNT/ML Injectable Solution [Novorapid] Box of 5 by Orifarm Leverkus","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279507","OMOP3130382","10 ML insulin detemir 100 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279613","OMOP3130488","10 ML insulin detemir 100 UNT/ML Injectable Solution [Actrapid]","Quant Branded Drug","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279856","OMOP3130731","10 ML insulin detemir 100 UNT/ML Injectable Solution [Actrapid] by Novo Nordisk","Marketed Product","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279462","OMOP3130337","10 ML insulin detemir 100 UNT/ML Injectable Solution [Humulin]","Quant Branded Drug","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279403","OMOP3130278","10 ML insulin detemir 100 UNT/ML Injectable Solution [Humulin] by Eli Lilly","Marketed Product","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279942","OMOP3130817","10 ML insulin detemir 33.3 UNT/ML / insulin, isophane 70 UNT/ML Injectable Suspension","Quant Clinical Drug","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279390","OMOP3130265","10 ML insulin detemir 33.3 UNT/ML / insulin, isophane 70 UNT/ML Injectable Suspension [Humulin]","Quant Branded Drug","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36279767","OMOP3130642","10 ML insulin detemir 33.3 UNT/ML / insulin, isophane 70 UNT/ML Injectable Suspension [Humulin] by Eli Lilly","Marketed Product","Standard","09/30/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41372670","OMOP2570632","10 ML Insulin Glargine 0.1 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41366638","OMOP2564600","10 ML Insulin Glargine 0.1 UNT/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41368415","OMOP2566377","10 ML Insulin Glargine 0.1 UNT/ML Injectable Solution [Lantus]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41363974","OMOP2561936","10 ML Insulin Glargine 0.1 UNT/ML Injectable Solution [Lantus] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","44193185","OMOP3069908","10 ML Insulin Glargine 0.1 UNT/ML Injectable Solution [Lantus] Box of 1 by Cc","Marketed Product","Standard","10/05/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41365851","OMOP2563813","10 ML Insulin Glargine 0.1 UNT/ML Injectable Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41371163","OMOP2569125","10 ML Insulin Glargine 0.1 UNT/ML Injectable Suspension Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41368414","OMOP2566376","10 ML Insulin Glargine 0.1 UNT/ML Injectable Suspension [Lantus]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41370734","OMOP2568696","10 ML Insulin Glargine 0.1 UNT/ML Injectable Suspension [Lantus] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","41364932","OMOP2562894","10 ML Insulin Glargine 0.1 UNT/ML Injectable Suspension [Lantus] Box of 1 by Cc","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782236","OMOP2783697","10 ML Insulin Glargine 100 UNT/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35781486","OMOP2782947","10 ML Insulin Glargine 100 UNT/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35781963","OMOP2783424","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782111","OMOP2783572","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36053486","OMOP4978660","10 ML insulin glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by DE","Marketed Product","Standard","08/16/2020","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782453","OMOP2783914","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Mawdsley-Brooks","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","40715355","OMOP4742310","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Necessity Supplies","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35781560","OMOP2783021","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Sanofi","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","40715356","OMOP4742309","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Sigma","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782306","OMOP2783767","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782615","OMOP2784076","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] Box of 1 by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","36053487","OMOP4978661","10 ML insulin glargine 100 UNT/ML Injectable Solution [Lantus] by DE","Marketed Product","Standard","08/16/2020","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35781705","OMOP2783166","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Mawdsley-Brooks","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","40715357","OMOP4742308","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Necessity Supplies","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782616","OMOP2784077","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Sanofi","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","40715358","OMOP4742307","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Sigma","Marketed Product","Standard","06/03/2018","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35781704","OMOP2783165","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Sigma-Tau","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","35782153","OMOP2783614","10 ML Insulin Glargine 100 UNT/ML Injectable Solution [Lantus] by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","43275460","OMOP563459","10 ML Insulin Glargine 100 UNT/ML Injection","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","43269920","OMOP563458","10 ML Insulin Glargine 100 UNT/ML Injection Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","2903283","OMOP5120127","10 ML insulin glargine 100 UNT/ML Injection [Lantus]","Quant Branded Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension",""
"","2903284","OMOP5120128","10 ML insulin glargine 100 UNT/ML Injection [Optisulin]","Quant Branded Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21078228","OMOP311362","10 ML Insulin Glargine 100 UNT/ML Prefilled Syringe","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21117438","OMOP311363","10 ML Insulin Glargine 100 UNT/ML Prefilled Syringe Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21127177","OMOP311364","10 ML Insulin Glargine 100 UNT/ML Prefilled Syringe [Lantus]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
"","21029139","OMOP311371","10 ML Insulin Glargine 100 UNT/ML Prefilled Syringe [Lantus] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension",""
